count,implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
1,adolc,dficfj,true,false,false,false,false,true,true,80,80,607,0.0001940328
2,cppad,dficfj,false,false,false,false,false,false,true,80,80,607,0.0003561322
3,subgraph,dficfj,false,false,false,false,true,false,true,80,80,607,0.0003785864
4,cppadcg,dficfj,false,false,false,false,false,false,true,80,80,607,0.0000008762
5,subcg,dficfj,false,false,false,false,true,false,true,80,80,607,0.0000007827
6,adolc,dierfj,true,false,false,false,false,true,true,153,153,1580,0.0001649577
7,cppad,dierfj,false,false,false,false,false,false,true,153,153,1580,0.0007314855
8,subgraph,dierfj,false,false,false,false,true,false,true,153,153,1580,0.0004653788
9,cppadcg,dierfj,false,false,false,false,false,false,true,153,153,1580,0.0000025358
10,subcg,dierfj,false,false,false,false,true,false,true,153,153,1580,0.0000029029
11,adolc,deptfg,true,false,false,false,false,false,true,100,1,361,0.0012964117
12,cppad,deptfg,false,false,false,false,false,false,true,100,1,280,0.0011208391
13,subgraph,deptfg,false,false,false,false,true,false,true,100,1,280,0.0007688184
14,cppadcg,deptfg,false,false,false,false,false,false,true,100,1,280,0.0000002195
15,subcg,deptfg,false,false,false,false,true,false,true,100,1,280,0.0000002095
16,adolc,dgl1fg,true,false,false,false,false,false,true,10,1,20,0.0001388114
17,cppad,dgl1fg,false,false,false,false,false,false,true,10,1,20,0.0000645865
18,subgraph,dgl1fg,false,false,false,false,true,false,true,10,1,20,0.0001223428
19,cppadcg,dgl1fg,false,false,false,false,false,false,true,10,1,20,0.0000002458
20,subcg,dgl1fg,false,false,false,false,true,false,true,10,1,20,0.0000002192
